cluster,ucr_name,period,paper_window_2P,ratio_2P_over_128,samples_per_token_paper,train_len,test_len,anom_len,in_dataset,in_run
ucr_001,DISTORTED1sddb40,204,408,3.19,12.8,35000,44795,621,1,0
ucr_002,DISTORTED2sddb40,204,408,3.19,12.8,35000,45001,301,1,0
ucr_003,DISTORTED3sddb40,204,408,3.19,12.8,35000,45000,301,1,0
ucr_004,DISTORTEDBIDMC1,82,164,1.28,5.1,2500,8500,201,0,0
ucr_005,DISTORTEDCIMIS44AirTemperature1,24,48,0.38,1.5,4000,4184,2,1,0
ucr_006,DISTORTEDCIMIS44AirTemperature2,24,48,0.38,1.5,4000,4184,25,1,0
ucr_007,DISTORTEDCIMIS44AirTemperature3,24,48,0.38,1.5,4000,4184,25,1,0
ucr_008,DISTORTEDCIMIS44AirTemperature4,24,48,0.38,1.5,4000,4184,49,1,0
ucr_009,DISTORTEDCIMIS44AirTemperature5,24,48,0.38,1.5,4000,4184,49,1,0
ucr_010,DISTORTEDCIMIS44AirTemperature6,24,48,0.38,1.5,4000,4184,49,1,0
ucr_011,DISTORTEDECG1,91,182,1.42,5.7,10000,20000,301,1,0
ucr_012,DISTORTEDECG2,93,186,1.45,5.8,15000,15000,101,1,0
ucr_013,DISTORTEDECG3,167,334,2.61,10.4,15000,15000,101,1,0
ucr_014,DISTORTEDECG3,165,330,2.58,10.3,8000,22000,101,1,0
ucr_015,DISTORTEDECG4,479,958,7.48,29.9,5000,195000,301,1,0
ucr_016,DISTORTEDECG4,166,332,2.59,10.4,5000,25000,201,1,0
ucr_017,DISTORTEDECG4,166,332,2.59,10.4,5000,25000,101,1,0
ucr_018,DISTORTEDECG4,168,336,2.62,10.5,8000,22000,101,1,0
ucr_019,DISTORTEDGP711MarkerLFM5z1,219,438,3.42,13.7,5000,7000,45,1,0
ucr_020,DISTORTEDGP711MarkerLFM5z2,219,438,3.42,13.7,5000,7000,214,1,0
ucr_021,DISTORTEDGP711MarkerLFM5z3,219,438,3.42,13.7,5000,7000,46,1,0
ucr_022,DISTORTEDGP711MarkerLFM5z4,215,430,3.36,13.4,4000,8000,119,1,0
ucr_023,DISTORTEDGP711MarkerLFM5z5,217,434,3.39,13.6,5000,7000,105,1,0
ucr_024,DISTORTEDInternalBleeding10,153,306,2.39,9.6,3200,4301,31,1,0
ucr_025,DISTORTEDInternalBleeding14,152,304,2.38,9.5,2800,4701,28,1,0
ucr_026,DISTORTEDInternalBleeding15,174,348,2.72,10.9,1700,5901,171,0,0
ucr_027,DISTORTEDInternalBleeding16,184,368,2.88,11.5,1200,6301,13,0,0
ucr_028,DISTORTEDInternalBleeding17,181,362,2.83,11.3,1600,5900,112,0,0
ucr_029,DISTORTEDInternalBleeding18,183,366,2.86,11.4,2300,5200,103,0,0
ucr_030,DISTORTEDInternalBleeding19,183,366,2.86,11.4,3000,4500,11,1,0
