cluster,ucr_name,in_run,period,paper_window_2P,our_window,ratio_2P_over_128,train_total,p0_train,test_len,anom_points,samples_per_token_paper,samples_per_token_ours
ucr_001,DISTORTED1sddb40,0,204,408,128,3.19,31500,3500,44795,621,12.8,4.0
ucr_002,DISTORTED2sddb40,0,204,408,128,3.19,31500,3500,45001,301,12.8,4.0
ucr_003,DISTORTED3sddb40,0,204,408,128,3.19,31500,3500,45000,301,12.8,4.0
ucr_005,DISTORTEDCIMIS44AirTemperature1,0,24,48,128,0.38,3600,400,4184,2,1.5,4.0
ucr_006,DISTORTEDCIMIS44AirTemperature2,0,24,48,128,0.38,3600,400,4184,25,1.5,4.0
ucr_007,DISTORTEDCIMIS44AirTemperature3,0,24,48,128,0.38,3600,400,4184,25,1.5,4.0
ucr_008,DISTORTEDCIMIS44AirTemperature4,0,24,48,128,0.38,3600,400,4184,49,1.5,4.0
ucr_009,DISTORTEDCIMIS44AirTemperature5,0,24,48,128,0.38,3600,400,4184,49,1.5,4.0
ucr_010,DISTORTEDCIMIS44AirTemperature6,0,24,48,128,0.38,3600,400,4184,49,1.5,4.0
ucr_011,DISTORTEDECG1,0,91,182,128,1.42,9000,1000,20000,301,5.7,4.0
ucr_012,DISTORTEDECG2,0,93,186,128,1.45,13500,1500,15000,101,5.8,4.0
ucr_013,DISTORTEDECG3,0,167,334,128,2.61,13500,1500,15000,101,10.4,4.0
ucr_014,DISTORTEDECG3,0,165,330,128,2.58,7200,800,22000,101,10.3,4.0
ucr_015,DISTORTEDECG4,0,479,958,128,7.48,4500,500,195000,301,29.9,4.0
ucr_016,DISTORTEDECG4,0,166,332,128,2.59,4500,500,25000,201,10.4,4.0
ucr_017,DISTORTEDECG4,0,166,332,128,2.59,4500,500,25000,101,10.4,4.0
ucr_018,DISTORTEDECG4,0,168,336,128,2.62,7200,800,22000,101,10.5,4.0
ucr_019,DISTORTEDGP711MarkerLFM5z1,0,219,438,128,3.42,4500,500,7000,45,13.7,4.0
ucr_020,DISTORTEDGP711MarkerLFM5z2,0,219,438,128,3.42,4500,500,7000,214,13.7,4.0
ucr_021,DISTORTEDGP711MarkerLFM5z3,0,219,438,128,3.42,4500,500,7000,46,13.7,4.0
ucr_022,DISTORTEDGP711MarkerLFM5z4,0,215,430,128,3.36,3600,400,8000,119,13.4,4.0
ucr_023,DISTORTEDGP711MarkerLFM5z5,0,217,434,128,3.39,4500,500,7000,105,13.6,4.0
ucr_024,DISTORTEDInternalBleeding10,0,153,306,128,2.39,2880,320,4301,31,9.6,4.0
ucr_025,DISTORTEDInternalBleeding14,0,152,304,128,2.38,2520,280,4701,28,9.5,4.0
ucr_030,DISTORTEDInternalBleeding19,0,183,366,128,2.86,2700,300,4500,11,11.4,4.0
ucr_031,DISTORTEDInternalBleeding20,0,183,366,128,2.86,2430,270,4800,161,11.4,4.0
ucr_033,DISTORTEDInternalBleeding5,0,175,350,128,2.73,3600,400,3415,171,10.9,4.0
ucr_036,DISTORTEDInternalBleeding9,0,175,350,128,2.73,3780,420,3301,83,10.9,4.0
ucr_037,DISTORTEDLab2Cmac011215EPG1,0,35,70,128,0.55,4500,500,25001,51,2.2,4.0
ucr_038,DISTORTEDLab2Cmac011215EPG2,0,35,70,128,0.55,4500,500,24950,71,2.2,4.0
ucr_039,DISTORTEDLab2Cmac011215EPG3,0,35,70,128,0.55,4500,500,24950,31,2.2,4.0
ucr_040,DISTORTEDLab2Cmac011215EPG4,0,32,64,128,0.5,5400,600,24066,131,2.0,4.0
ucr_041,DISTORTEDLab2Cmac011215EPG5,0,32,64,128,0.5,6300,700,22826,131,2.0,4.0
ucr_042,DISTORTEDLab2Cmac011215EPG6,0,32,64,128,0.5,6300,700,22859,231,2.0,4.0
ucr_043,DISTORTEDMesoplodonDensirostris,0,207,414,128,3.23,9000,1000,14667,161,12.9,4.0
ucr_044,DISTORTEDPowerDemand1,0,24,48,128,0.38,8100,900,20931,337,1.5,4.0
ucr_045,DISTORTEDPowerDemand2,0,24,48,128,0.38,12600,1400,15931,361,1.5,4.0
ucr_046,DISTORTEDPowerDemand3,0,24,48,128,0.38,14400,1600,13931,73,1.5,4.0
ucr_047,DISTORTEDPowerDemand4,0,24,48,128,0.38,16200,1800,11931,73,1.5,4.0
ucr_048,DISTORTEDTkeepFifthMARS,0,97,194,128,1.52,3150,350,7834,98,6.1,4.0
ucr_049,DISTORTEDTkeepFirstMARS,0,97,194,128,1.52,3150,350,7906,16,6.1,4.0
ucr_050,DISTORTEDTkeepForthMARS,0,97,194,128,1.52,3150,350,7808,98,6.1,4.0
ucr_051,DISTORTEDTkeepSecondMARS,0,97,194,128,1.52,3150,350,7888,11,6.1,4.0
ucr_052,DISTORTEDTkeepThirdMARS,0,97,194,128,1.52,3150,350,7808,99,6.1,4.0
ucr_054,DISTORTEDWalkingAceleration5,0,114,228,128,1.78,2430,270,3984,60,7.1,4.0
ucr_055,DISTORTEDapneaecg2,0,94,188,128,1.47,9000,1000,28501,151,5.9,4.0
ucr_056,DISTORTEDapneaecg3,0,94,188,128,1.47,4500,500,33379,101,5.9,4.0
ucr_057,DISTORTEDapneaecg4,0,94,188,128,1.47,5400,600,32269,101,5.9,4.0
ucr_058,DISTORTEDapneaecg,0,96,192,128,1.5,9000,1000,28501,69,6.0,4.0
ucr_059,DISTORTEDgait1,0,328,656,128,5.12,18000,2000,45000,301,20.5,4.0
ucr_060,DISTORTEDgait2,0,328,656,128,5.12,19800,2200,43000,301,20.5,4.0
ucr_061,DISTORTEDgait3,0,328,656,128,5.12,22050,2450,40500,601,20.5,4.0
ucr_062,DISTORTEDgaitHunt1,0,328,656,128,5.12,16650,1850,45500,111,20.5,4.0
ucr_063,DISTORTEDgaitHunt2,0,328,656,128,5.12,16650,1850,45500,651,20.5,4.0
ucr_064,DISTORTEDgaitHunt3,0,328,656,128,5.12,21060,2340,40600,801,20.5,4.0
ucr_065,DISTORTEDinsectEPG1,0,25,50,128,0.39,2700,300,7001,31,1.6,4.0
ucr_066,DISTORTEDinsectEPG2,0,25,50,128,0.39,3330,370,6298,26,1.6,4.0
ucr_067,DISTORTEDinsectEPG3,0,25,50,128,0.39,4680,520,4798,51,1.6,4.0
ucr_069,DISTORTEDinsectEPG5,0,25,50,128,0.39,2880,320,6828,2,1.6,4.0
ucr_070,DISTORTEDltstdbs30791AI,0,221,442,128,3.45,15799,1755,38568,201,13.8,4.0
ucr_071,DISTORTEDltstdbs30791AS,0,221,442,128,3.45,20700,2300,32000,201,13.8,4.0
