tag,serie,arm,host,gpu,scheda,amp,inizio_utc,fine_utc,ore,fonte
zn_main,ucr_001,centralized,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:37,2026-08-04 15:53:17,1.66,inferito
zn_main,ucr_001,federated,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:43,2026-08-04 22:06:43,7.88,inferito
zn_main,ucr_001,federated_cb_only,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:46,2026-08-04 20:35:38,6.36,inferito
zn_main,ucr_001,federated_cb_only_ema,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:49,2026-08-04 21:13:22,6.99,inferito
zn_main,ucr_001,federated_fedavg_cb_only,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:52,2026-08-04 20:22:35,6.15,inferito
zn_main,ucr_001,local,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 14:13:40,2026-08-04 18:12:26,3.98,inferito
zn_main,ucr_011,centralized,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 15:53:17,2026-08-04 16:53:41,1.01,inferito
zn_main,ucr_011,federated,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 18:12:26,2026-08-04 21:20:02,3.13,inferito
zn_main,ucr_011,federated_cb_only,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 19:35:11,,,inferito
zn_main,ucr_011,federated_cb_only_ema,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 20:22:35,,,inferito
zn_main,ucr_011,federated_fedavg_cb_only,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 20:35:38,,,inferito
zn_main,ucr_011,local,g2,1,Quadro RTX 8000 cc 7.5,float16,2026-08-04 16:53:41,2026-08-04 19:35:11,2.69,inferito
zn_main,ucr_014,centralized,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:37,2026-08-04 14:53:45,0.65,inferito+gpu
zn_main,ucr_014,federated,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:43,2026-08-04 17:26:53,3.20,inferito+gpu
zn_main,ucr_014,federated_cb_only,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:46,2026-08-04 17:11:26,2.94,inferito+gpu
zn_main,ucr_014,federated_cb_only_ema,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:49,2026-08-04 17:15:10,3.01,inferito+gpu
zn_main,ucr_014,federated_fedavg_cb_only,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:52,2026-08-04 16:35:16,2.34,inferito+gpu
zn_main,ucr_014,local,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:40,2026-08-04 16:49:43,2.58,inferito+gpu
zn_main,ucr_043,centralized,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:55,2026-08-04 14:55:28,0.68,inferito+gpu
zn_main,ucr_043,federated,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:15:01,2026-08-04 16:01:13,1.77,inferito+gpu
zn_main,ucr_043,federated_cb_only,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:53:45,2026-08-04 17:39:16,2.76,inferito+gpu
zn_main,ucr_043,federated_cb_only_ema,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:55:28,2026-08-04 17:40:19,2.75,inferito+gpu
zn_main,ucr_043,federated_fedavg_cb_only,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 16:01:13,2026-08-04 18:35:26,2.57,inferito+gpu
zn_main,ucr_043,local,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 14:14:58,2026-08-04 16:37:00,2.37,inferito+gpu
zn_main,ucr_082,centralized,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 16:35:16,2026-08-04 18:10:23,1.59,inferito+gpu
zn_main,ucr_082,federated,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 16:49:43,2026-08-05 00:46:59,7.95,inferito+gpu
zn_main,ucr_082,federated_cb_only,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 17:11:26,2026-08-05 01:44:45,8.56,inferito+gpu
zn_main,ucr_082,federated_cb_only_ema,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 17:15:10,2026-08-05 02:05:12,8.83,inferito+gpu
zn_main,ucr_082,federated_fedavg_cb_only,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 17:26:53,2026-08-05 04:16:09,10.82,inferito+gpu
zn_main,ucr_082,local,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 16:37:00,2026-08-04 19:49:34,3.21,inferito+gpu
zn_main,ucr_083,centralized,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 17:39:16,2026-08-04 18:53:50,1.24,inferito+gpu
zn_main,ucr_083,federated,g4,2,GeForce RTX 3090 cc 8.6,float16,2026-08-04 18:10:23,2026-08-05 04:45:55,10.59,inferito+gpu
zn_main,ucr_083,federated_cb_only,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 18:35:26,2026-08-04 22:37:47,4.04,inferito+gpu
zn_main,ucr_083,federated_cb_only_ema,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-04 18:53:50,2026-08-05 00:05:12,5.19,inferito+gpu
zn_main,ucr_083,federated_fedavg_cb_only,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 19:49:34,2026-08-05 02:04:09,6.24,inferito+gpu
zn_main,ucr_083,local,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 17:40:19,2026-08-04 20:34:58,2.91,inferito+gpu
zn_main,ucr_086,centralized,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 20:34:58,2026-08-04 21:47:03,1.20,inferito+gpu
zn_main,ucr_086,federated,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-04 22:37:47,2026-08-05 01:38:22,3.01,inferito+gpu
zn_main,ucr_086,federated_cb_only,g4,1,GeForce RTX 3090 cc 8.6,float16,2026-08-05 00:05:12,2026-08-05 03:19:56,3.25,inferito+gpu
zn_main,ucr_086,federated_cb_only_ema,g4,3,GeForce RTX 3090 cc 8.6,float16,2026-08-05 00:36:15,2026-08-05 04:05:22,3.49,inferito+gpu
